context,question,answer_start,answer_text,language
"वास्तुशिल्प रूप से, स्कूल में एक कैथोलिक चरित्र है। मुख्य भवन के गोल्ड डोम के ऊपर वर्जिन मैरी की एक सुनहरी मूर्ति है। मुख्य भवन के सामने और इसका सामना करना पड़ता है, क्राइस्ट के साथ एक तांबा मूर्ति है जो किंवदंती ""वेनिट एडी मी ओमनेस"" के साथ उगता है। मुख्य भवन के बगल में पवित्र हृदय का बेसिलिका है। बेसिलिका के पीछे तुरंत ग्रोट्टो, प्रार्थना और प्रतिबिंब का एक मैरियन स्थान है। यह लॉर्ड्स, फ्रांस में ग्रोट्टो की एक प्रतिकृति है जहां वर्जिन मैरी ने 1858 में सेंट बर्नडेट सॉबिरस को सम्मानित किया था। मुख्य ड्राइव के अंत में (और एक सीधी रेखा में जो 3 मूर्तियों और सोने के गुंबद से जुड़ता है), मैरी की एक सरल, आधुनिक पत्थर की मूर्ति है।",नोट्रे डेम में ग्रोटो क्या है?,332,प्रार्थना और प्रतिबिंब का एक मैरियन स्थान,hindi
"वास्तुशिल्प रूप से, स्कूल में एक कैथोलिक चरित्र है। मुख्य भवन के गोल्ड डोम के ऊपर वर्जिन मैरी की एक सुनहरी मूर्ति है। मुख्य भवन के सामने और इसका सामना करना पड़ता है, क्राइस्ट के साथ एक तांबा मूर्ति है जो किंवदंती ""वेनिट एडी मी ओमनेस"" के साथ उगता है। मुख्य भवन के बगल में पवित्र हृदय का बेसिलिका है। बेसिलिका के पीछे तुरंत ग्रोट्टो, प्रार्थना और प्रतिबिंब का एक मैरियन स्थान है। यह लॉर्ड्स, फ्रांस में ग्रोट्टो की एक प्रतिकृति है जहां वर्जिन मैरी ने 1858 में सेंट बर्नडेट सॉबिरस को सम्मानित किया था। मुख्य ड्राइव के अंत में (और एक सीधी रेखा में जो 3 मूर्तियों और सोने के गुंबद से जुड़ता है), मैरी की एक सरल, आधुनिक पत्थर की मूर्ति है।",नोट्रे डेम में मुख्य भवन के शीर्ष पर क्या बैठता है?,82,वर्जिन मैरी की एक सुनहरी मूर्ति,hindi
"अधिकांश अन्य विश्वविद्यालयों के रूप में, नोट्रे डेम के छात्र कई समाचार मीडिया आउटलेट चलाते हैं। नौ छात्र-संचालित आउटलेट में तीन समाचार पत्र, एक रेडियो और टेलीविजन स्टेशन, और कई पत्रिकाएं और पत्रिकाएं शामिल हैं। सितंबर 1876 में एक-पेज जर्नल के रूप में शुरू हुआ, शैक्षिक पत्रिका दो बार मासिक रूप से जारी की जाती है और संयुक्त राज्य अमेरिका में सबसे पुराना निरंतर कॉलेजिएट प्रकाशन होने का दावा करता है। अन्य पत्रिका, जुगलर, साल में दो बार जारी की जाती है और छात्र साहित्य और कलाकृति पर केंद्रित है। गुंबद सालाना सालाना प्रकाशित होता है। समाचार पत्रों में प्रतिद्वंद्वी प्रकाशन हित है, पर्यवेक्षक दैनिक प्रकाशित और मुख्य रूप से रिपोर्टिंग विश्वविद्यालय और अन्य समाचार, और दोनों नोट्रे डेम और सेंट मैरी कॉलेज के छात्रों द्वारा कर्मचारियों द्वारा कर्मचारियों के साथ। विद्वानिक और गुंबद के विपरीत, पर्यवेक्षक एक स्वतंत्र प्रकाशन है और इसमें विश्वविद्यालय से कोई संकाय सलाहकार या कोई संपादकीय निरीक्षण नहीं है। 1 9 87 में, जब कुछ छात्रों का मानना था कि पर्यवेक्षक ने एक कंज़र्वेटिव पूर्वाग्रह, एक उदार समाचार पत्र दिखाना शुरू किया, सामान्य ज्ञान प्रकाशित किया गया। इसी प्रकार, 2003 में, जब अन्य छात्रों का मानना था कि पेपर ने उदार पूर्वाग्रह दिखाया, कंज़र्वेटिव पेपर आयरिश रोवर उत्पादन में चला गया। न तो पेपर अक्सर पर्यवेक्षक के रूप में प्रकाशित किया जाता है;हालांकि, सभी तीनों को सभी छात्रों को वितरित किया जाता है। अंत में, वसंत 2008 में राजनीति से परे राजनीतिक विज्ञान अनुसंधान के लिए एक स्नातक पत्रिका ने अपनी शुरुआत की।",नोट्रे डेम की विद्वान पत्रिका कब प्रकाशित हुई?,211,सितंबर 1876,hindi
"अधिकांश अन्य विश्वविद्यालयों के रूप में, नोट्रे डेम के छात्र कई समाचार मीडिया आउटलेट चलाते हैं। नौ छात्र-संचालित आउटलेट में तीन समाचार पत्र, एक रेडियो और टेलीविजन स्टेशन, और कई पत्रिकाएं और पत्रिकाएं शामिल हैं। सितंबर 1876 में एक-पेज जर्नल के रूप में शुरू हुआ, शैक्षिक पत्रिका दो बार मासिक रूप से जारी की जाती है और संयुक्त राज्य अमेरिका में सबसे पुराना निरंतर कॉलेजिएट प्रकाशन होने का दावा करता है। अन्य पत्रिका, जुगलर, साल में दो बार जारी की जाती है और छात्र साहित्य और कलाकृति पर केंद्रित है। गुंबद सालाना सालाना प्रकाशित होता है। समाचार पत्रों में प्रतिद्वंद्वी प्रकाशन हित है, पर्यवेक्षक दैनिक प्रकाशित और मुख्य रूप से रिपोर्टिंग विश्वविद्यालय और अन्य समाचार, और दोनों नोट्रे डेम और सेंट मैरी कॉलेज के छात्रों द्वारा कर्मचारियों द्वारा कर्मचारियों के साथ। विद्वानिक और गुंबद के विपरीत, पर्यवेक्षक एक स्वतंत्र प्रकाशन है और इसमें विश्वविद्यालय से कोई संकाय सलाहकार या कोई संपादकीय निरीक्षण नहीं है। 1 9 87 में, जब कुछ छात्रों का मानना था कि पर्यवेक्षक ने एक कंज़र्वेटिव पूर्वाग्रह, एक उदार समाचार पत्र दिखाना शुरू किया, सामान्य ज्ञान प्रकाशित किया गया। इसी प्रकार, 2003 में, जब अन्य छात्रों का मानना था कि पेपर ने उदार पूर्वाग्रह दिखाया, कंज़र्वेटिव पेपर आयरिश रोवर उत्पादन में चला गया। न तो पेपर अक्सर पर्यवेक्षक के रूप में प्रकाशित किया जाता है;हालांकि, सभी तीनों को सभी छात्रों को वितरित किया जाता है। अंत में, वसंत 2008 में राजनीति से परे राजनीतिक विज्ञान अनुसंधान के लिए एक स्नातक पत्रिका ने अपनी शुरुआत की।",कितनी बार नोट्रे डेम का जुगलर प्रकाशित होता है?,429,दो बार,hindi
"अधिकांश अन्य विश्वविद्यालयों के रूप में, नोट्रे डेम के छात्र कई समाचार मीडिया आउटलेट चलाते हैं। नौ छात्र-संचालित आउटलेट में तीन समाचार पत्र, एक रेडियो और टेलीविजन स्टेशन, और कई पत्रिकाएं और पत्रिकाएं शामिल हैं। सितंबर 1876 में एक-पेज जर्नल के रूप में शुरू हुआ, शैक्षिक पत्रिका दो बार मासिक रूप से जारी की जाती है और संयुक्त राज्य अमेरिका में सबसे पुराना निरंतर कॉलेजिएट प्रकाशन होने का दावा करता है। अन्य पत्रिका, जुगलर, साल में दो बार जारी की जाती है और छात्र साहित्य और कलाकृति पर केंद्रित है। गुंबद सालाना सालाना प्रकाशित होता है। समाचार पत्रों में प्रतिद्वंद्वी प्रकाशन हित है, पर्यवेक्षक दैनिक प्रकाशित और मुख्य रूप से रिपोर्टिंग विश्वविद्यालय और अन्य समाचार, और दोनों नोट्रे डेम और सेंट मैरी कॉलेज के छात्रों द्वारा कर्मचारियों द्वारा कर्मचारियों के साथ। विद्वानिक और गुंबद के विपरीत, पर्यवेक्षक एक स्वतंत्र प्रकाशन है और इसमें विश्वविद्यालय से कोई संकाय सलाहकार या कोई संपादकीय निरीक्षण नहीं है। 1 9 87 में, जब कुछ छात्रों का मानना था कि पर्यवेक्षक ने एक कंज़र्वेटिव पूर्वाग्रह, एक उदार समाचार पत्र दिखाना शुरू किया, सामान्य ज्ञान प्रकाशित किया गया। इसी प्रकार, 2003 में, जब अन्य छात्रों का मानना था कि पेपर ने उदार पूर्वाग्रह दिखाया, कंज़र्वेटिव पेपर आयरिश रोवर उत्पादन में चला गया। न तो पेपर अक्सर पर्यवेक्षक के रूप में प्रकाशित किया जाता है;हालांकि, सभी तीनों को सभी छात्रों को वितरित किया जाता है। अंत में, वसंत 2008 में राजनीति से परे राजनीतिक विज्ञान अनुसंधान के लिए एक स्नातक पत्रिका ने अपनी शुरुआत की।",नोट्रे डेम में कितने छात्र समाचार पत्र पाए जाते हैं?,124,तीन,hindi
"विश्वविद्यालय पवित्र क्रॉस की मंडली की प्रमुख सीट है (यद्यपि इसके आधिकारिक मुख्यालय नहीं, जो रोम में हैं)। इसका मुख्य सेमिनरी, मोरौ सेमिनरी, सेंट पर कैंपस पर स्थित है। मुख्य भवन से जोसेफ झील। ओल्ड कॉलेज, कैंपस पर सबसे पुरानी इमारत और सेंट के किनारे के पास स्थित है। मैरी लेक, हाउस अंडर ग्रेजुएट सेमिनियन। सेवानिवृत्त पुजारी और भाई फातिमा हाउस (एक पूर्व रिट्रीट सेंटर), होली क्रॉस हाउस, साथ ही साथ ग्रोट्टो के पास कोलंबिया हॉल में रहते हैं। मोरौ सेमिनरी के माध्यम से विश्वविद्यालय में धर्मशास्त्री फ्रेडरिक बुएकनर से संबंध हैं। कैथोलिक नहीं होने पर, बुएकनर ने नोट्रे डेम और मोरौ सेमिनरी से लेखकों की प्रशंसा की है, उन्होंने प्रचार के लिए एक बुएकनर पुरस्कार बनाया है।",जहां पवित्र क्रॉस की मण्डली का मुख्यालय है?,93,रोम,hindi
"विश्वविद्यालय पवित्र क्रॉस की मंडली की प्रमुख सीट है (यद्यपि इसके आधिकारिक मुख्यालय नहीं, जो रोम में हैं)। इसका मुख्य सेमिनरी, मोरौ सेमिनरी, सेंट पर कैंपस पर स्थित है। मुख्य भवन से जोसेफ झील। ओल्ड कॉलेज, कैंपस पर सबसे पुरानी इमारत और सेंट के किनारे के पास स्थित है। मैरी लेक, हाउस अंडर ग्रेजुएट सेमिनियन। सेवानिवृत्त पुजारी और भाई फातिमा हाउस (एक पूर्व रिट्रीट सेंटर), होली क्रॉस हाउस, साथ ही साथ ग्रोट्टो के पास कोलंबिया हॉल में रहते हैं। मोरौ सेमिनरी के माध्यम से विश्वविद्यालय में धर्मशास्त्री फ्रेडरिक बुएकनर से संबंध हैं। कैथोलिक नहीं होने पर, बुएकनर ने नोट्रे डेम और मोरौ सेमिनरी से लेखकों की प्रशंसा की है, उन्होंने प्रचार के लिए एक बुएकनर पुरस्कार बनाया है।",पवित्र क्रॉस की मण्डली का प्राथमिक मित्रता क्या है?,127,मोरौ सेमिनरी,hindi
"विश्वविद्यालय पवित्र क्रॉस की मंडली की प्रमुख सीट है (यद्यपि इसके आधिकारिक मुख्यालय नहीं, जो रोम में हैं)। इसका मुख्य सेमिनरी, मोरौ सेमिनरी, सेंट पर कैंपस पर स्थित है। मुख्य भवन से जोसेफ झील। ओल्ड कॉलेज, कैंपस पर सबसे पुरानी इमारत और सेंट के किनारे के पास स्थित है। मैरी लेक, हाउस अंडर ग्रेजुएट सेमिनियन। सेवानिवृत्त पुजारी और भाई फातिमा हाउस (एक पूर्व रिट्रीट सेंटर), होली क्रॉस हाउस, साथ ही साथ ग्रोट्टो के पास कोलंबिया हॉल में रहते हैं। मोरौ सेमिनरी के माध्यम से विश्वविद्यालय में धर्मशास्त्री फ्रेडरिक बुएकनर से संबंध हैं। कैथोलिक नहीं होने पर, बुएकनर ने नोट्रे डेम और मोरौ सेमिनरी से लेखकों की प्रशंसा की है, उन्होंने प्रचार के लिए एक बुएकनर पुरस्कार बनाया है।",क्या व्यक्ति नोट्रे डेम में फातिमा हाउस में रहते हैं?,305,सेवानिवृत्त पुजारी और भाई,hindi
"कॉलेज ऑफ इंजीनियरिंग की स्थापना 1920 में हुई थी, हालांकि, नागरिक और मैकेनिकल इंजीनियरिंग में शुरुआती पाठ्यक्रम 1870 के दशक से कॉलेज ऑफ साइंस का हिस्सा थे। आज कॉलेज, फिट्जपैट्रिक, कुशिंग और इंजीनियरिंग के स्टिंसन-रीमिक हॉल में रखने वाले कॉलेज में अध्ययन के पांच विभाग शामिल हैं - एयरोस्पेस और मैकेनिकल इंजीनियरिंग, रसायन और जैव-विषुव इंजीनियरिंग, सिविल इंजीनियरिंग और भूवैज्ञानिक विज्ञान, कंप्यूटर विज्ञान और इंजीनियरिंग, और इलेक्ट्रिकल इंजीनियरिंग -आठ बी के साथ। डिग्री की पेशकश की। इसके अतिरिक्त, कॉलेज कला और अक्षरों के कॉलेजों और अतिरिक्त बी के कॉलेजों के साथ पांच साल के दोहरी डिग्री प्रोग्राम प्रदान करता है। और मास्टर ऑफ बिज़नस एडमिनिस्ट्रेशन (एमबीए) डिग्री, क्रमशः।",नोट्रे डेम में इंजीनियरिंग कॉलेज में कितने बीएस स्तर की डिग्री की पेशकश की जाती है?,451,आठ,hindi
"कॉलेज ऑफ इंजीनियरिंग की स्थापना 1920 में हुई थी, हालांकि, नागरिक और मैकेनिकल इंजीनियरिंग में शुरुआती पाठ्यक्रम 1870 के दशक से कॉलेज ऑफ साइंस का हिस्सा थे। आज कॉलेज, फिट्जपैट्रिक, कुशिंग और इंजीनियरिंग के स्टिंसन-रीमिक हॉल में रखने वाले कॉलेज में अध्ययन के पांच विभाग शामिल हैं - एयरोस्पेस और मैकेनिकल इंजीनियरिंग, रसायन और जैव-विषुव इंजीनियरिंग, सिविल इंजीनियरिंग और भूवैज्ञानिक विज्ञान, कंप्यूटर विज्ञान और इंजीनियरिंग, और इलेक्ट्रिकल इंजीनियरिंग -आठ बी के साथ। डिग्री की पेशकश की। इसके अतिरिक्त, कॉलेज कला और अक्षरों के कॉलेजों और अतिरिक्त बी के कॉलेजों के साथ पांच साल के दोहरी डिग्री प्रोग्राम प्रदान करता है। और मास्टर ऑफ बिज़नस एडमिनिस्ट्रेशन (एमबीए) डिग्री, क्रमशः।",कॉलेज ऑफ इंजीनियरिंग के समान अध्ययन के निर्माण से पहले किस नोट्रे डेम कॉलेज में किया गया था?,128,कॉलेज ऑफ साइंस,hindi
